Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-17 20:15:06.606,0.00,-0.50,-0.89,1.89,0.24,0.79,17.58,-2.38,-18.65,0.01,-0.86,-0.52,4.94,1.10,2.20,23.38,-6.49,6.53
2024-11-17 20:15:06.812,0.00,-0.50,-0.89,2.01,-0.18,0.92,17.30,-2.27,-18.93,0.01,-0.87,-0.52,1.65,2.08,1.16,22.92,-5.86,6.95
2024-11-17 20:15:07.118,0.00,-0.50,-0.89,2.38,-0.12,0.85,17.61,-2.36,-18.41,0.01,-0.86,-0.53,13.24,0.85,4.21,23.28,-5.74,6.10
2024-11-17 20:15:07.323,0.00,-0.50,-0.89,2.14,0.24,0.73,17.57,-2.86,-18.14,0.02,-0.85,-0.55,4.58,1.40,1.40,22.75,-5.75,6.47
2024-11-17 20:15:07.629,0.00,-0.50,-0.90,2.26,0.12,0.85,17.30,-2.29,-17.75,0.02,-0.85,-0.55,2.87,1.28,0.92,22.46,-5.38,6.03
2024-11-17 20:15:07.835,0.00,-0.50,-0.90,2.01,0.06,0.92,17.54,-2.75,-17.50,0.02,-0.84,-0.56,2.26,0.85,0.61,22.94,-5.69,5.98
2024-11-17 20:15:08.140,0.00,-0.50,-0.89,2.26,0.18,0.79,17.55,-3.20,-17.31,0.02,-0.85,-0.55,3.17,1.10,0.92,22.28,-5.85,6.82
2024-11-17 20:15:08.346,0.00,-0.50,-0.90,2.08,0.24,0.73,17.25,-2.93,-17.03,0.02,-0.85,-0.55,5.07,1.65,0.79,23.12,-5.30,6.24
2024-11-17 20:15:08.551,0.00,-0.50,-0.90,2.01,0.00,0.73,17.86,-2.92,-18.85,0.02,-0.85,-0.55,3.72,1.34,0.73,22.85,-5.90,7.23
2024-11-17 20:15:08.857,0.00,-0.50,-0.90,1.77,0.18,0.92,17.26,-2.54,-17.72,0.02,-0.85,-0.54,3.05,1.16,0.73,22.51,-5.68,6.46
2024-11-17 20:15:09.062,0.00,-0.50,-0.89,2.01,0.18,0.79,17.58,-2.86,-18.02,0.02,-0.85,-0.55,1.95,1.22,0.37,22.20,-6.02,7.14
2024-11-17 20:15:09.368,0.00,-0.50,-0.90,2.26,0.06,0.67,17.09,-2.75,-18.16,0.02,-0.86,-0.55,2.62,1.28,0.49,22.75,-4.94,5.60
2024-11-17 20:15:09.574,0.00,-0.50,-0.90,2.14,0.00,0.79,17.18,-1.90,-18.70,0.02,-0.85,-0.55,5.25,1.59,1.16,22.77,-5.99,6.58
2024-11-17 20:15:09.879,0.00,-0.50,-0.89,1.89,0.12,0.79,17.50,-2.77,-17.94,0.02,-0.85,-0.55,6.65,1.40,1.53,22.83,-6.05,5.86
2024-11-17 20:15:10.085,0.00,-0.50,-0.89,2.20,0.06,0.85,17.80,-2.12,-18.12,0.02,-0.85,-0.54,4.27,1.40,0.79,22.77,-5.57,5.65
2024-11-17 20:15:10.390,0.00,-0.50,-0.90,2.01,0.24,0.67,17.91,-2.56,-17.92,0.02,-0.85,-0.55,4.15,1.16,1.04,22.61,-6.13,7.34
2024-11-17 20:15:10.596,0.00,-0.50,-0.89,2.01,0.00,0.67,17.30,-2.29,-17.24,0.02,-0.85,-0.55,4.88,1.10,1.22,22.08,-5.35,5.20
2024-11-17 20:15:10.902,0.00,-0.50,-0.89,2.08,0.06,0.85,17.58,-2.31,-17.77,0.02,-0.85,-0.55,3.85,1.04,0.92,22.88,-5.51,7.79
2024-11-17 20:15:11.107,0.00,-0.50,-0.90,2.26,0.18,0.73,17.25,-1.88,-17.94,0.02,-0.85,-0.55,3.97,1.22,1.04,23.03,-5.42,6.09
2024-11-17 20:15:11.312,0.00,-0.50,-0.90,2.01,0.18,0.92,17.35,-2.27,-16.78,0.02,-0.85,-0.55,4.70,1.22,1.16,22.33,-5.42,5.92
2024-11-17 20:15:11.638,0.00,-0.50,-0.89,2.20,0.00,0.85,17.16,-2.39,-17.93,0.02,-0.85,-0.55,4.82,1.53,0.79,22.40,-5.70,6.25
2024-11-17 20:15:11.844,0.00,-0.50,-0.90,2.32,0.06,0.55,17.18,-2.77,-17.53,0.02,-0.85,-0.55,4.33,1.28,0.98,22.46,-5.40,7.08
2024-11-17 20:15:12.149,0.00,-0.50,-0.90,2.08,0.31,0.67,17.31,-2.29,-16.96,0.02,-0.85,-0.55,3.97,1.22,1.10,22.18,-5.22,6.10
2024-11-17 20:15:12.355,0.00,-0.50,-0.90,2.32,0.18,0.79,16.58,-2.01,-18.38,0.02,-0.86,-0.55,0.31,3.05,-2.20,22.20,-5.77,6.10
