Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-17 18:41:42.431,-0.04,-0.19,-1.00,1.95,0.06,0.85,-0.04,16.06,-20.51,0.02,0.90,-0.45,4.46,1.40,0.67,23.43,21.55,-6.20
2024-11-17 18:41:42.638,-0.04,-0.19,-1.00,2.32,0.06,0.85,-0.42,15.48,-20.42,0.02,0.90,-0.45,4.27,1.22,0.92,23.95,21.36,-6.80
2024-11-17 18:41:42.943,-0.04,-0.19,-1.00,2.14,0.06,0.79,0.01,15.97,-21.20,0.02,0.90,-0.45,4.09,1.16,0.85,23.73,21.22,-6.35
2024-11-17 18:41:43.149,-0.04,-0.19,-1.00,2.14,0.00,0.92,-0.18,15.99,-21.20,0.02,0.90,-0.45,4.09,1.28,0.92,23.47,21.75,-6.27
2024-11-17 18:41:43.455,-0.04,-0.19,-1.00,2.32,0.06,0.85,-0.45,15.84,-20.81,0.02,0.90,-0.45,4.33,1.10,0.98,24.02,21.12,-7.32
2024-11-17 18:41:43.760,-0.04,-0.19,-1.00,2.14,0.06,0.79,-0.17,15.60,-21.15,0.02,0.90,-0.44,4.27,1.22,0.85,23.05,21.85,-6.46
2024-11-17 18:41:43.966,-0.04,-0.19,-1.00,2.32,0.06,0.85,-0.07,15.81,-21.20,0.02,0.90,-0.45,4.09,1.16,0.92,23.68,21.46,-6.38
2024-11-17 18:41:44.172,-0.04,-0.19,-1.00,2.01,0.00,0.79,-0.57,15.73,-21.96,0.02,0.90,-0.45,4.03,1.16,0.85,23.50,21.83,-6.18
2024-11-17 18:41:44.478,-0.04,-0.19,-1.00,1.40,0.12,0.98,-0.32,16.35,-21.52,0.01,0.90,-0.46,0.98,2.32,4.03,23.63,20.87,-6.48
2024-11-17 18:41:44.683,-0.04,-0.20,-1.00,1.40,-0.12,0.79,-0.27,15.95,-20.41,0.02,0.89,-0.45,5.80,0.18,-0.92,23.45,21.13,-7.59
