Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,azimuth_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R,azimuth_R
2024-11-10 20:56:43,0.12,-0.10,-0.97,-208.19,-107.91,-43,49.11,-23.06,17.42,335,-0.86,0.01,0.79,-133.48,59.27,25.09,20.34,11.95,21.45,30
2024-11-10 20:56:44,-2.79,0.25,2.14,-148.32,-13.37,-52.,46.17,-15.60,21.79,342,-1.30,0.73,-1.50,-91.25,270.26,-59.14,29.50,10.89,18.31,20
2024-11-10 20:56:45,-0.83,-0.10,-0.59,-6.71,-66.96,45.53,54.32,-17.74,17.57,342,-1.06,0.16,-0.31,26.49,-72.20,-19.10,23.30,14.09,23.22,31
2024-11-10 20:56:46,-1.53,0.57,-0.34,-53.10,-92.29,17.52,48.32,-14.12,27.94,344,-0.20,0.11,-0.39,-65.37,2.81,62.62,17.68,13.27,22.88,36
2024-11-10 20:56:47,-1.50,-0.11,0.78,-5.19,229.55,50.84,51.44,-27.29,8.86,333,-1.22,0.14,0.37,41.50,-86.36,7.08,29.49,14.71,17.11,26
2024-11-10 20:56:48,-1.29,-0.15,0.36,-12.21,-67.69,19.17,52.67,-17.59,15.00,342,-3.71,1.29,1.40,154.79,117.80,-11.41,17.81,15.39,22.22,40
2024-11-10 20:56:49,-0.52,0.15,-0.32,112.49,19.90,-40.16,46.63,-14.36,20.94,343,-1.34,0.10,-1.48,-94.18,266.97,-46.08,29.88,13.34,17.75,24
2024-11-10 20:56:50,-1.62,0.81,-1.53,-115.48,237.43,70.6,52.16,-31.40,12.15,329,-0.86,0.01,-0.22,8.73,-102.97,4.58,25.15,15.22,19.67,31
2024-11-10 20:56:51,-0.00,0.08,0.07,13.43,-73.30,5.43,39.37,-16.99,19.97,337,-0.19,0.39,-0.47,-52.55,-27.59,43.95,19.06,10.84,21.52,29
2024-11-10 20:56:52,-0.31,-0.14,-0.55,74.40,-6.04,-23.99,42.49,-13.33,19.31,343,-1.19,0.30,-0.54,29.91,6.16,-26.31,30.27,14.12,13.51,25
2024-11-10 20:56:53,-0.82,0.47,-0.06,-25.33,-93.32,22.83,54.64,-20.46,22.96,340,-4.00,1.49,1.19,-252.99,298.71,82.46,19.58,12.16,21.13,31
2024-11-10 20:56:54,-3.98,-0.82,1.75,-35.64,174.99,-38.1,47.11,-18.29,25.74,339,-0.72,-0.20,-0.25,70.62,81.12,47.00,20.98,13.11,22.06,31
2024-11-10 20:56:55,-1.55,0.23,0.01,-25.45,-30.21,42.05,53.41,-20.78,12.39,339,-0.99,-0.17,-0.18,23.80,-83.50,-21.36,25.79,14.44,18.92,29
2024-11-10 20:56:56,-0.79,0.12,-0.07,-21.18,-94.12,10.44,45.39,-14.38,22.38,343,-1.98,0.43,2.25,107.73,17.09,38.45,15.67,14.71,21.86,43
2024-11-10 20:56:57,-1.67,-0.61,-0.24,25.27,128.97,-79.28,52.03,-27.42,20.36,333,-1.60,-0.10,0.04,22.09,8.61,-11.72,29.42,14.10,11.45,25
2024-11-10 20:56:58,-1.51,0.16,-0.26,-14.16,-25.70,49.62,53.52,-24.56,10.62,336,-0.56,0.31,-0.36,-18.74,-51.09,61.58,21.15,11.61,21.94,28
2024-11-10 20:56:59,-0.31,-0.31,-0.58,-10.68,-56.09,-6.84,44.40,-15.77,21.08,341,-0.65,-0.22,-0.28,4.70,102.36,22.40,20.15,12.60,23.11,32
2024-11-10 20:57:00,-0.77,-0.13,-0.22,26.31,107.67,-105.1,47.12,-20.94,22.88,337,-1.32,0.08,-0.11,-25.09,-97.53,-14.83,27.34,14.55,17.86,28
2024-11-10 20:57:01,-0.49,-0.42,-0.11,12.82,26.00,8.48,45.30,-17.93,22.99,339,-0.40,-0.00,-0.95,116.21,-35.64,1.10,18.47,15.12,22.47,39
2024-11-10 20:57:02,-3.98,0.18,4.00,-196.90,65.00,-39.8,45.37,-15.23,20.32,342,-1.32,-0.00,-0.25,30.64,108.70,-56.34,25.32,15.03,18.48,30
2024-11-10 20:57:03,-0.97,0.09,-0.64,31.37,-100.95,77.64,49.23,-17.68,14.92,341,-0.84,-0.09,-0.18,27.77,-103.15,-9.22,23.71,14.82,19.51,32
2024-11-10 20:57:04,-0.70,0.23,-0.26,-52.86,-105.47,48.2,39.03,-14.81,21.56,340,-0.04,0.13,-0.50,-42.66,3.54,49.87,15.61,12.40,20.36,38
2024-11-10 20:57:05,-1.32,0.27,-1.36,-21.36,211.55,50.23,44.81,-30.24,10.22,326,-1.12,0.31,0.50,11.60,-75.56,9.58,28.69,15.50,10.99,28
2024-11-10 20:57:06,-0.50,0.02,-0.52,-73.30,-54.38,42.48,51.34,-19.24,11.51,340,-1.75,0.15,1.02,339.48,-70.25,-35.22,18.24,15.32,22.61,40
