Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-15 19:32:41.705,-1.47,-0.29,-0.51,14.34,126.59,-95.58,5.58,-0.39,-10.69,-0.76,0.10,-0.19,57.43,-150.82,8.91,23.78,13.37,-3.82
2024-11-15 19:32:42.111,-0.44,0.90,-0.68,-6.71,-133.54,17.40,6.76,6.67,-12.04,-0.58,-0.26,-0.51,5.43,128.11,75.81,27.54,19.21,1.62
2024-11-15 19:32:42.321,-0.98,0.31,-0.16,-12.76,-115.97,30.2,2.06,4.52,-12.32,-1.98,0.40,2.07,12.39,137.39,-12.21,30.22,16.53,-0.60
2024-11-15 19:32:42.627,-1.48,0.51,0.35,-132.39,61.71,-5.68,3.99,2.81,-14.04,-1.11,0.31,-0.22,24.84,-89.90,-32.53,27.34,21.64,-4.97
2024-11-15 19:32:43.034,-0.67,-0.04,-0.45,175.90,152.53,1.04,11.07,7.97,-21.36,-1.69,0.18,-1.21,289.49,154.79,86.06,13.37,33.97,-7.67
2024-11-15 19:32:43.240,-0.87,-0.03,0.28,-48.95,-132.14,27.5,4.43,3.36,-22.08,-0.29,0.03,-0.89,-121.58,54.02,47.24,33.69,22.31,-16.54
2024-11-15 19:32:43.446,-1.17,0.16,0.23,-53.34,-57.43,20.39,-5.29,-6.41,-19.59,0.22,-0.63,-2.34,27.65,-41.02,-45.41,37.52,-1.43,-12.07
2024-11-15 19:32:43.652,-1.89,-0.36,-0.63,51.64,158.14,-92.29,6.99,-11.22,-9.36,-0.89,-0.19,-0.16,18.01,-113.95,-20.45,27.54,-1.65,-10.16
2024-11-15 19:32:44.167,-0.06,-0.39,0.16,6.90,-130.49,12.15,9.89,1.26,-10.34,-1.16,-0.09,-0.47,-40.89,131.47,106.26,29.25,11.99,-4.06
2024-11-15 19:32:44.376,-0.80,0.22,-0.05,-77.15,-126.65,30.0,2.73,-2.43,-9.81,-0.73,0.68,-0.22,-154.54,-1.65,49.19,30.79,9.18,-3.04
2024-11-15 19:32:44.682,-1.30,0.40,-0.24,-115.48,11.35,14.59,2.72,-6.42,-8.95,-1.34,-0.35,-0.89,38.27,-139.10,67.44,29.87,8.69,-3.76
2024-11-15 19:32:44.788,-0.94,0.34,-0.46,94.12,67.57,-70.50,8.61,-1.12,-9.38,-0.72,-0.10,-0.18,46.20,-122.13,-1.65,24.41,11.54,-4.37
2024-11-15 19:32:45.195,-0.33,-0.31,-0.07,-94.12,-2.08,48.46,9.06,5.79,-13.01,-1.06,-0.08,-0.42,14.47,96.50,110.53,26.54,19.52,-2.15
2024-11-15 19:32:45.403,-0.81,0.37,-0.06,-44.56,-125.00,35.1,1.83,2.55,-13.98,-2.38,0.57,2.46,-84.96,89.36,-25.51,30.85,12.51,-5.44
2024-11-15 19:32:45.709,-1.41,0.53,-0.27,-2.62,100.95,-100.8,4.90,-1.79,-11.49,-1.08,0.04,-0.36,44.13,-84.05,-37.96,28.19,12.78,-4.71
2024-11-15 19:32:46.215,-0.85,-0.00,-0.46,34.42,77.27,-66.35,9.95,8.52,-12.68,-1.71,-0.07,-0.30,-13.85,177.61,84.35,21.53,22.57,-1.46
2024-11-15 19:32:46.321,-1.04,0.06,-0.28,-62.87,-125.79,23.5,4.60,6.21,-13.42,-0.52,-0.03,-0.75,-68.85,95.09,44.13,26.11,20.69,-1.42
2024-11-15 19:32:46.628,-1.13,0.19,0.25,-54.57,-17.76,34.42,-0.71,-1.45,-12.85,-0.21,-0.93,-1.08,114.99,-57.19,24.17,31.18,13.31,-6.57
2024-11-15 19:32:47.134,-1.40,-0.45,-0.59,13.61,140.08,-81.67,9.61,3.08,-11.67,-1.56,1.22,-1.09,184.14,169.74,-50.60,19.17,21.13,-4.69
2024-11-15 19:32:47.240,-1.36,0.04,-0.78,13.55,-133.24,20.81,8.56,8.89,-13.88,-0.44,-0.28,-0.54,4.33,191.04,82.82,28.39,23.52,-1.82
2024-11-15 19:32:47.646,-1.02,0.44,-0.20,-38.45,-58.84,26.73,-1.64,2.53,-15.97,-0.31,0.30,-1.36,386.90,-169.86,6.53,34.66,14.94,-5.37
2024-11-15 19:32:47.752,-1.94,-0.24,-0.17,134.70,129.21,-56.8,7.63,0.09,-14.69,-0.83,-0.03,-0.24,101.07,-67.08,-47.24,31.58,15.34,-8.36
2024-11-15 19:32:48.259,-0.27,-0.30,-0.14,38.76,-1.59,54.08,11.68,9.02,-14.94,-1.48,0.22,-0.48,-22.89,129.33,116.52,28.94,24.38,-4.13
2024-11-15 19:32:48.365,-1.04,0.14,-0.33,-74.22,-133.79,47.9,7.60,7.63,-16.92,-0.01,-0.00,-1.10,-149.78,-16.17,52.00,33.86,21.20,-3.69
2024-11-15 19:32:48.771,-1.40,0.64,-0.22,-132.87,132.63,-10.,6.02,-4.72,-15.30,-1.04,0.93,0.23,-46.51,-132.87,-10.31,33.11,13.66,-7.46
2024-11-15 19:32:49.287,-0.76,0.08,-0.53,67.44,127.01,-78.49,14.98,5.31,-13.65,-1.48,0.37,-0.30,55.97,119.14,135.25,27.31,23.13,-5.19
2024-11-15 19:32:49.494,-1.07,0.22,-0.32,-63.11,-120.54,41.9,5.09,0.18,-16.77,-0.30,0.39,-0.54,-171.51,-64.39,57.74,35.22,11.93,-6.08
2024-11-15 19:32:49.699,-1.12,-0.01,0.17,-66.96,-3.66,15.87,2.05,-5.22,-14.87,-0.92,-0.30,-1.00,37.23,-108.09,53.96,34.88,8.18,-7.07
2024-11-15 19:32:50.206,-1.63,-0.18,-0.63,83.13,92.65,-78.80,13.96,3.31,-13.65,-1.52,0.08,-1.12,278.50,173.22,61.34,25.23,20.03,-7.12
2024-11-15 19:32:50.413,-1.12,-0.32,-0.65,-13.73,-127.93,28.2,9.77,2.73,-14.78,-0.43,0.14,-0.94,-106.14,101.87,43.76,34.80,15.59,-5.47
2024-11-15 19:32:50.823,-1.22,0.52,0.12,-39.55,-10.25,30.15,2.92,-6.47,-10.79,-1.10,-0.06,-1.02,31.56,-175.96,59.69,34.53,7.24,-5.35
2024-11-15 19:32:51.129,-1.58,-0.47,-0.60,49.19,74.16,-81.36,12.95,-1.14,-10.19,-1.73,-0.19,0.41,93.87,44.92,-28.32,19.20,12.92,-8.72
2024-11-15 19:32:51.336,-0.07,0.84,-1.23,54.14,-123.90,-53.5,12.01,5.90,-12.38,-1.35,0.20,-0.38,-35.58,141.72,114.87,30.13,18.49,-4.30
2024-11-15 19:32:51.542,-0.89,0.19,-0.10,-36.80,-113.10,70.1,2.33,0.12,-15.38,-3.16,0.60,3.49,-27.77,97.66,33.45,34.42,10.31,-5.11
2024-11-15 19:32:51.848,-1.83,1.12,1.23,-15.50,70.50,-79.10,4.39,-4.98,-12.54,-1.53,0.90,-0.13,-81.85,-142.27,21.36,33.90,9.86,-6.56
