Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-20 13:10:40.148,-0.92,-0.25,-0.27,2.56,2.26,1.28,6.14,-16.65,-0.52,-1.00,0.01,-0.18,5.98,0.98,1.71,35.12,-13.17,-9.29
2024-11-20 13:10:40.354,-0.93,-0.23,-0.27,-0.12,-0.37,1.83,6.16,-16.65,-0.34,-1.02,0.02,-0.17,1.28,0.49,2.93,35.44,-12.98,-8.11
2024-11-20 13:10:40.560,-0.97,-0.24,-0.22,0.73,5.13,8.24,5.65,-17.41,0.96,-0.97,-0.14,-0.22,3.85,25.33,35.89,33.62,-13.39,-6.95
2024-11-20 13:10:40.866,-1.05,-0.26,0.09,17.33,88.32,1.65,4.83,-17.07,0.89,-1.10,-0.40,-0.10,8.00,-20.63,11.66,31.97,-14.26,-7.24
2024-11-20 13:10:41.092,-0.82,-0.11,0.03,42.30,46.39,-0.18,6.91,-16.41,1.40,-0.99,-0.13,-0.18,7.14,-29.17,-12.76,32.17,-12.35,-9.13
2024-11-20 13:10:41.398,-0.81,-0.18,0.38,2.81,14.34,-6.16,7.78,-15.67,1.12,-1.01,-0.09,-0.26,32.35,-2.87,-11.96,32.32,-8.78,-11.13
2024-11-20 13:10:41.604,-0.71,-0.39,-0.18,-52.49,-74.22,-37.2,9.33,-14.93,1.04,-1.05,0.13,-0.30,-36.50,78.43,45.90,35.79,-6.16,-10.75
2024-11-20 13:10:41.911,-0.94,-0.07,-0.16,-54.44,-72.75,-0.67,10.33,-14.56,-0.24,-0.70,0.04,-0.10,-31.19,9.77,33.81,34.30,-11.33,-2.27
2024-11-20 13:10:42.121,-0.92,-0.10,-0.23,-25.70,-41.81,14.04,9.51,-16.13,1.53,-0.83,0.05,0.17,-25.51,12.70,21.61,35.39,-13.24,2.23
2024-11-20 13:10:42.427,-1.47,-0.17,0.17,-53.89,142.82,8.48,9.61,-17.27,4.17,-1.01,-0.32,-0.09,46.26,-53.53,-17.21,36.29,-11.34,-3.30
2024-11-20 13:10:42.633,-0.80,-0.23,-0.17,20.51,74.46,-15.50,12.01,-15.75,6.84,-0.95,-0.19,-0.22,10.01,-46.51,-34.24,37.76,-7.80,-8.28
2024-11-20 13:10:42.940,-1.04,-0.33,0.99,44.98,-17.94,-6.65,15.22,-14.55,4.96,-1.26,-0.17,-0.19,54.99,-1.04,-5.31,38.73,-3.45,-13.37
2024-11-20 13:10:43.150,-0.63,-0.29,-0.34,-43.21,-92.35,-27.4,15.84,-13.39,4.08,-1.30,-0.20,-0.25,-153.63,65.49,131.29,40.92,-8.40,-7.29
2024-11-20 13:10:43.356,-0.98,-0.08,-0.13,-24.84,-80.81,21.48,16.97,-13.00,1.81,-0.57,-0.09,-0.05,-15.01,-4.58,4.09,41.24,-19.52,3.50
2024-11-20 13:10:43.662,-1.06,-0.14,-0.14,-41.26,-10.19,-4.94,16.16,-13.90,4.79,-0.95,-0.23,-0.31,21.97,-4.33,16.36,36.19,-25.31,12.33
2024-11-20 13:10:43.869,-1.22,-0.30,-0.25,17.76,154.54,-48.40,11.33,-11.85,17.92,-0.96,-0.17,-0.08,72.81,-68.66,-17.21,37.85,-25.83,8.85
2024-11-20 13:10:44.179,-0.49,-0.18,-0.12,11.47,-48.28,-25.45,10.36,-15.00,16.52,-1.05,-0.25,-0.15,64.82,-12.63,-14.65,41.97,-16.25,-3.33
2024-11-20 13:10:44.385,-1.08,-0.67,-0.27,97.35,-1.28,26.49,10.62,-15.98,13.00,-1.33,0.18,-0.64,-41.99,82.46,74.28,41.38,-12.06,-5.05
2024-11-20 13:10:44.692,-0.89,-0.07,-0.12,-35.89,-88.81,15.14,16.08,-14.39,10.10,-0.57,-0.07,0.03,30.33,-8.79,8.73,34.88,-18.71,10.45
2024-11-20 13:10:44.898,-1.08,-0.07,-0.03,-33.39,-20.32,10.50,15.71,-14.55,9.47,-1.05,0.17,0.12,17.94,-15.50,-0.67,32.74,-18.91,12.93
2024-11-20 13:10:45.104,-1.26,-0.33,-0.85,-55.79,94.97,-45.72,8.70,-12.26,16.97,-0.98,-0.25,-0.09,92.35,-68.48,-32.65,33.44,-22.73,4.72
2024-11-20 13:10:45.414,-0.57,-0.12,-0.20,62.13,-21.97,-25.27,5.41,-16.60,14.54,-1.06,-0.12,-0.14,41.87,-38.09,-44.74,35.23,-19.32,-5.37
2024-11-20 13:10:45.620,-1.10,-0.29,0.14,24.17,25.33,-21.73,6.13,-17.02,10.17,-1.30,0.20,0.59,-1.95,120.48,31.01,34.75,-16.37,-8.54
2024-11-20 13:10:45.927,-0.83,-0.14,-0.14,-24.66,-89.48,-7.14,10.05,-16.31,6.98,-0.62,0.11,-0.16,-83.56,65.19,36.68,35.01,-20.59,-0.45
