Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,azimuth_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R,azimuth_R
2024-11-10 20:55:29,-0.68,0.30,-0.22,-48.10,-84.23,29.48,44.91,-15.59,17.86,333,-0.99,-0.17,-0.25,30.40,-91.31,-11.78,25.73,16.09,18.97,32
2024-11-10 20:55:30,-0.60,-0.17,-0.75,-27.77,24.60,-28.99,47.40,-18.97,24.77,339,-0.69,0.35,-0.31,-75.93,-98.75,48.71,18.03,14.12,21.85,38
2024-11-10 20:55:31,-1.50,-0.15,0.80,-102.72,80.32,18.55,53.71,-35.53,9.96,340,-1.63,-0.15,0.41,65.61,64.82,4.03,28.86,14.33,16.35,26
2024-11-10 20:55:32,-1.14,0.19,-0.04,16.91,-74.77,39.37,51.48,-21.94,12.72,337,-1.46,0.11,-0.28,95.58,-147.71,23.93,17.75,16.37,21.90,42
2024-11-10 20:55:33,-0.54,0.01,-0.50,50.23,55.66,-39.73,39.89,-19.90,21.08,337,-0.48,0.08,-0.43,-42.85,38.82,52.80,14.05,11.76,22.39,39
2024-11-10 20:55:34,-0.89,0.15,-0.57,22.03,176.76,-49.56,56.35,-40.20,21.44,325,-1.22,0.30,-0.10,7.69,-78.06,-15.50,24.12,17.33,20.28,35
2024-11-10 20:55:35,-2.20,0.27,4.00,-320.62,-89.84,84.1,45.45,-15.34,23.56,333,-0.94,-0.18,0.62,245.73,-75.87,-76.72,14.53,17.27,18.58,49
2024-11-10 20:55:36,-0.31,-0.11,-0.59,90.21,-32.65,-7.87,40.36,-9.80,17.31,347,-1.69,0.47,-1.45,-190.37,219.12,-55.73,24.72,16.74,16.09,34
2024-11-10 20:55:37,-0.81,0.12,-0.11,-35.64,-101.38,2.44,45.83,-18.74,16.38,338,-0.89,-0.17,-0.15,-7.08,-134.34,-27.71,23.51,17.63,20.63,36
2024-11-10 20:55:38,-0.31,0.25,-1.51,121.09,-50.29,63.05,44.75,-17.96,18.02,339,-0.85,0.06,-0.24,90.09,84.47,52.06,20.19,19.48,22.63,43
