Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-15 19:21:07.624,-0.11,0.93,-0.95,-13.06,-104.61,-7.4,1.90,24.74,2.22,-1.14,0.08,-0.48,-32.04,117.07,122.19,27.75,22.34,19.32
2024-11-15 19:21:07.733,-0.82,0.37,-0.20,-28.14,-132.14,27.8,2.93,24.12,-0.22,-0.23,-0.00,-1.11,-187.01,23.13,65.06,26.78,23.45,18.79
2024-11-15 19:21:08.039,-1.33,0.32,-0.23,-121.46,32.96,-15.8,2.61,21.90,-5.49,0.02,-0.38,-0.55,49.80,-13.92,33.81,29.27,26.60,12.67
2024-11-15 19:21:08.645,-0.68,0.21,-0.61,69.58,149.96,-20.87,3.27,25.38,-1.97,-1.34,0.08,-0.45,33.02,140.81,151.73,26.66,24.55,19.36
2024-11-15 19:21:08.751,-1.01,-0.07,-0.36,-57.98,-141.78,39.7,3.09,25.32,-2.22,-0.37,-0.05,-0.87,-130.80,70.92,40.71,27.81,24.05,19.67
2024-11-15 19:21:09.057,-1.26,0.16,0.04,-49.26,-7.87,17.76,2.76,21.90,-8.14,-1.58,-0.83,-0.81,45.47,-142.21,84.35,29.28,27.53,13.21
2024-11-15 19:21:09.563,-1.38,0.06,-0.50,39.86,110.47,-84.96,3.45,25.35,-3.96,-2.09,0.30,-0.65,101.93,227.29,122.44,27.98,28.10,17.87
2024-11-15 19:21:09.669,-1.04,-0.23,-0.30,-18.92,-126.46,35.1,1.88,28.20,-1.23,-0.50,-0.05,-0.76,-41.69,79.71,46.33,25.67,26.33,21.36
2024-11-15 19:21:10.076,-1.18,0.04,0.10,-85.88,7.26,6.84,4.48,23.00,-12.07,-1.67,0.38,-0.48,-32.23,-172.55,37.35,31.64,32.48,10.99
2024-11-15 19:21:10.281,-1.31,-0.15,-0.63,47.91,113.16,-97.66,2.91,27.55,-8.17,-0.62,-0.19,0.18,2.38,-137.57,-13.31,29.96,34.88,11.66
2024-11-15 19:21:10.688,-2.26,-1.68,-2.44,19.84,-103.76,23.56,0.96,30.74,-8.17,-0.57,-0.21,-0.79,-40.83,101.44,57.86,26.23,36.50,17.09
2024-11-15 19:21:10.909,-0.66,0.01,-0.27,-97.78,-105.90,64.4,-0.77,27.22,-11.30,-1.68,0.47,0.66,-140.44,32.29,-11.84,30.13,34.56,0.81
2024-11-15 19:21:11.216,-1.82,0.64,-2.53,186.28,190.73,-57.8,6.16,15.48,-14.44,-0.98,-0.16,-0.04,5.62,-99.67,-59.69,31.31,27.62,-3.67
2024-11-15 19:21:11.622,-0.22,-0.23,-0.71,17.46,-108.46,5.62,7.46,12.44,-7.59,-0.94,-0.03,-0.61,-27.53,152.47,113.16,30.68,17.11,1.38
2024-11-15 19:21:11.828,-0.92,0.18,-0.08,-3.85,-138.67,25.51,4.63,10.40,-8.54,-0.27,0.57,-0.42,-199.71,-32.23,62.93,32.43,9.83,5.22
