Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
2024-11-20 12:53:56.321,-0.36,0.07,-0.57,-57.56,-62.50,-18.6,14.43,21.24,-2.72,-1.29,-0.14,-0.71,-109.74,77.82,72.45,40.15,22.08,4.10
2024-11-20 12:53:56.627,-0.93,-0.02,-0.11,-34.91,-70.50,15.50,11.80,18.46,-10.00,-0.58,0.01,-0.18,-19.17,-41.26,7.20,45.26,16.66,6.37
2024-11-20 12:53:56.833,-1.05,0.17,-0.07,5.37,-0.79,9.16,11.65,14.27,-12.44,-1.87,-0.78,0.34,75.07,21.24,3.66,45.68,16.31,6.15
2024-11-20 12:53:57.039,-1.29,-0.09,-0.60,16.85,138.37,-33.69,15.05,15.32,-6.02,-0.90,-0.28,-0.17,97.11,-70.56,-26.25,44.54,16.08,7.43
2024-11-20 12:53:57.349,-0.55,-0.13,-0.22,32.10,-25.02,-20.81,13.38,19.79,1.45,-1.02,-0.29,-0.15,48.46,-28.50,-29.91,41.98,18.64,6.04
2024-11-20 12:53:57.555,-1.20,-0.25,-0.17,49.50,6.29,9.22,9.86,24.12,2.67,-1.36,-0.09,-0.89,-90.82,95.58,76.90,37.19,18.93,11.10
2024-11-20 12:53:57.862,-0.95,0.11,-0.19,-53.10,-74.71,-8.91,8.26,26.49,-4.25,-0.76,-0.03,-0.22,-65.92,-0.12,48.89,39.18,21.95,7.41
2024-11-20 12:53:58.067,-1.00,0.07,-0.02,-8.18,-14.04,6.96,6.02,25.82,-8.76,-0.59,0.02,-0.30,28.87,-51.15,-23.68,40.36,21.85,3.59
2024-11-20 12:53:58.277,-0.97,0.08,-0.44,-38.27,-80.02,23.50,1.66,26.00,-8.47,-0.90,-0.13,-0.13,130.80,-81.85,-14.59,36.73,23.47,-1.15
2024-11-20 12:53:58.884,-2.20,0.47,0.51,-35.46,247.56,16.91,10.61,22.47,-4.33,-1.29,-0.20,-0.58,-26.79,78.06,22.03,41.00,28.71,-1.88
2024-11-20 12:53:59.194,-1.11,0.02,-0.03,-70.07,-110.78,21.1,20.42,26.82,-14.83,-0.30,-0.16,-0.13,-40.47,-10.01,13.31,53.02,21.12,8.85
2024-11-20 12:53:59.401,-0.72,-0.15,-0.06,14.71,-90.76,18.68,17.92,26.56,-19.35,0.04,-0.53,-0.32,-87.34,12.27,17.70,49.96,22.41,9.59
2024-11-20 12:53:59.607,-1.68,-0.38,-0.74,57.80,156.43,-37.60,16.56,26.17,-6.52,-1.04,0.05,-0.08,140.69,-90.94,-76.11,46.61,21.06,9.52
