id,timestamp,x_acel_l,y_acel_l,z_acel_l,x_gyro_l,y_gyro_l,z_gyro_l,x_mag_l,y_mag_l,z_mag_l,x_acel_r,y_acel_r,z_acel_r,x_gyro_r,y_gyro_r,z_gyro_r,x_mag_r,y_mag_r,z_mag_r
1,2024-12-01 20:03:54.563,-0.98,-0.23,0.08,-30.21,1.65,12.57,14.04,14.0,13.01,-3.14,1.37,0.42,-8.18,0.61,-16.97,33.36,6.21,28.43
2,2024-12-01 20:03:54.791,-1.33,-0.48,-0.22,-68.66,118.1,-76.2,4.21,21.74,20.46,-0.89,0.05,-0.17,26.92,-110.23,-0.24,36.25,8.12,24.44
3,2024-12-01 20:03:55.101,-0.21,-0.25,-0.66,106.69,31.8,-78.25,3.04,18.97,26.76,-1.56,0.54,1.71,64.82,165.41,-14.47,40.7,7.37,18.18
4,2024-12-01 20:03:55.310,-0.69,0.2,-0.3,-4.39,-90.94,-10.5,4.86,18.21,22.85,-1.07,0.13,-0.24,-91.31,168.64,76.9,32.09,5.0,24.02
5,2024-12-01 20:03:55.526,-1.1,-0.02,-0.07,-10.07,-51.94,-6.1,9.47,16.96,17.99,-0.98,1.11,1.67,-140.08,34.18,48.58,27.05,9.63,26.45
6,2024-12-01 20:03:55.832,-1.58,0.68,-1.38,-18.43,174.87,-83.5,5.54,21.66,16.48,-1.08,-0.08,-0.32,16.97,-94.54,-16.17,31.02,9.51,24.28
7,2024-12-01 20:03:56.139,-0.28,-0.26,-0.78,141.97,7.75,-4.94,1.5,19.29,22.02,-1.6,-0.2,0.78,67.63,66.22,17.03,37.79,7.97,17.02
8,2024-12-01 20:03:56.245,-1.79,-1.11,2.28,140.26,-14.04,70.56,2.05,19.03,23.9,-1.3,-0.21,-1.71,269.23,148.07,41.93,34.27,5.38,20.42
9,2024-12-01 20:03:56.556,-0.93,0.0,0.03,-7.14,-84.41,-1.65,7.74,15.52,18.51,-0.47,0.48,-0.2,-35.16,-43.95,39.92,27.54,8.68,25.04
10,2024-12-01 20:03:56.762,-1.52,0.08,1.03,-119.63,128.17,7.81,6.37,18.98,16.93,-0.07,0.04,-0.45,31.49,-70.19,48.58,28.49,8.68,25.67
11,2024-12-01 20:03:57.169,-0.78,-0.12,-0.59,100.28,-4.7,-11.78,-0.66,16.98,23.13,-1.4,-0.21,-0.05,33.39,-11.84,-7.51,37.79,7.82,17.57
12,2024-12-01 20:03:57.375,-1.16,0.14,-0.15,141.17,37.48,51.7,1.01,17.76,26.03,-1.58,-0.06,-1.82,306.58,141.54,34.24,34.75,6.98,20.51
13,2024-12-01 20:03:57.592,-0.96,0.13,-0.1,-3.11,-104.13,21.0,7.18,14.21,20.95,-0.41,-0.08,-0.86,-156.19,-2.2,13.98,25.96,2.95,25.68
14,2024-12-01 20:03:57.798,-1.3,0.2,-0.25,-26.06,-5.37,12.02,8.75,15.59,17.11,-0.92,0.64,0.42,50.9,-3.23,29.24,25.01,7.81,25.43
15,2024-12-01 20:03:58.105,-1.16,-0.09,-0.31,-20.2,99.91,-54.63,-0.1,20.06,22.13,-0.93,-0.14,0.05,-56.03,-125.98,-15.44,35.01,7.13,19.65
16,2024-12-01 20:03:58.411,-0.78,0.11,-0.09,133.0,-79.96,41.02,0.09,16.99,23.4,-1.41,-0.11,-1.48,236.76,140.08,93.75,32.29,3.39,21.36
17,2024-12-01 20:03:58.520,-1.27,0.0,-0.22,-15.44,-101.56,40.8,4.47,15.88,20.67,-0.73,-0.2,-0.44,-3.11,119.63,25.02,26.98,3.63,23.84
18,2024-12-01 20:03:58.832,-1.16,0.18,0.02,-38.33,-41.08,11.6,8.54,15.09,18.07,-0.87,0.23,0.03,-37.6,-3.17,5.98,24.16,9.96,24.4
19,2024-12-01 20:03:59.038,-1.89,-0.72,-0.56,91.37,106.45,-34.48,-0.84,21.14,19.17,-0.92,-0.08,-0.22,25.88,-101.56,-18.92,28.89,8.84,24.48
20,2024-12-01 20:03:59.444,-0.09,-0.33,-0.66,-59.63,-16.97,28.93,2.39,18.38,21.15,-1.49,0.32,0.11,97.29,205.93,-26.25,35.39,7.47,18.2
21,2024-12-01 20:03:59.550,-0.25,0.81,-1.23,-14.89,-104.92,-9.4,2.78,17.87,20.68,-1.06,0.15,-0.15,-52.43,184.51,58.35,28.93,5.3,23.73
22,2024-12-01 20:03:59.862,-1.0,0.17,-0.24,9.52,-74.77,4.94,8.34,17.54,15.59,-1.26,0.8,1.35,-162.78,31.62,10.74,26.25,10.64,25.16
23,2024-12-01 20:04:00.068,-1.2,0.4,1.15,-107.97,108.58,-14.0,6.93,22.02,15.82,-1.19,0.59,-0.26,-9.89,-92.47,7.02,28.25,11.41,26.79
24,2024-12-01 20:04:00.574,-0.11,-0.4,-0.91,-292.11,58.41,-83.1,2.28,19.37,23.44,-1.43,0.41,0.53,48.22,259.22,-28.5,35.86,9.07,20.56
25,2024-12-01 20:04:00.688,-0.3,0.65,-1.39,-56.21,-100.46,-7.5,3.26,18.77,21.58,-1.26,0.06,-0.28,-109.44,170.96,54.32,30.37,5.3,24.66
26,2024-12-01 20:04:00.894,-0.93,-0.05,0.03,-23.99,-77.21,3.72,9.75,16.43,17.99,-1.27,0.67,1.76,-69.4,14.53,51.51,25.32,12.88,25.67
27,2024-12-01 20:04:01.200,-1.3,0.05,0.27,-74.71,117.92,-3.6,6.4,21.12,16.09,-0.98,0.45,-0.18,26.98,-86.12,22.83,27.94,11.36,24.54
28,2024-12-01 20:04:01.607,-0.43,-0.23,-0.68,-142.03,5.19,-67.87,3.88,15.52,26.27,-1.34,0.61,1.85,80.08,151.49,-3.36,37.15,8.22,15.31
29,2024-12-01 20:04:01.718,-0.59,0.71,-0.94,-48.89,-98.51,-6.53,6.62,15.58,22.19,-1.19,0.07,-0.34,-111.15,203.37,59.63,33.5,4.11,22.36
30,2024-12-01 20:04:02.024,-1.03,-0.13,0.06,-5.31,-76.35,5.31,12.87,12.95,16.31,-1.37,0.08,2.29,-26.92,56.34,33.26,28.02,8.97,27.64
31,2024-12-01 20:04:02.230,-1.41,0.44,1.46,-137.88,113.4,-9.5,7.7,18.75,18.51,-1.21,0.52,-0.26,-3.23,-109.92,13.37,31.38,8.76,25.46
32,2024-12-01 20:04:02.637,-0.53,-0.06,-0.7,70.5,39.67,-32.53,3.61,15.61,23.68,-1.38,0.06,0.97,86.73,95.7,15.38,38.56,8.0,15.87
33,2024-12-01 20:04:02.748,-1.4,-1.06,-0.29,-25.51,-50.48,30.15,5.65,16.46,23.18,-1.27,0.06,-0.64,-21.61,169.86,94.24,33.02,3.42,21.8
34,2024-12-01 20:04:03.054,-0.82,-0.14,0.07,-3.97,-116.76,28.2,12.24,13.22,17.27,-1.56,0.43,1.06,226.99,-24.9,16.97,26.73,7.74,25.7
35,2024-12-01 20:04:03.260,-1.51,-0.17,1.96,-102.17,73.3,16.17,8.11,17.92,17.32,-0.79,0.09,-0.29,39.79,-84.35,-27.71,29.13,6.62,24.8
36,2024-12-01 20:04:03.666,-0.37,-0.12,-0.65,97.78,18.25,-1.1,3.11,15.25,26.22,-1.82,-0.45,0.53,70.31,44.68,1.65,38.48,6.98,14.89
37,2024-12-01 20:04:03.777,-3.28,0.04,2.82,153.14,-19.35,79.59,1.79,18.12,25.68,-2.44,0.07,-1.18,133.0,157.17,57.5,35.78,5.99,19.1
38,2024-12-01 20:04:04.083,-0.64,-0.1,-0.27,15.75,-126.83,26.37,8.22,12.01,18.71,-0.99,0.28,0.03,-37.84,18.49,30.76,26.53,8.14,26.1
39,2024-12-01 20:04:04.289,-1.55,-0.03,1.72,-161.87,170.65,35.1,6.31,16.24,18.41,-1.2,0.33,-0.55,-5.07,-84.9,-21.61,27.86,5.94,25.38
40,2024-12-01 20:04:04.695,-0.5,-0.05,-0.63,67.02,41.38,-40.77,0.85,13.38,24.0,-1.66,-0.27,0.71,70.86,68.73,9.58,36.34,6.75,16.22
41,2024-12-01 20:04:04.806,-1.59,-1.23,-0.59,-35.46,-35.46,-32.1,2.16,15.01,23.47,-1.99,0.03,-0.5,-7.45,176.45,103.21,34.03,3.72,21.13
42,2024-12-01 20:04:05.112,-0.84,0.0,-0.02,-12.02,-90.03,6.23,7.67,12.96,18.4,-1.0,0.33,-0.42,-99.73,54.93,10.68,26.38,8.47,24.66
43,2024-12-01 20:04:05.318,-1.62,0.03,1.13,-175.23,189.64,19.5,7.19,15.61,17.24,-0.5,-0.83,-0.67,64.76,-63.23,49.74,26.21,9.52,25.32
44,2024-12-01 20:04:05.624,-0.58,-0.09,-0.61,26.43,38.7,-40.47,-0.34,16.67,21.41,-1.34,0.05,0.77,3.72,-49.5,11.23,36.02,8.65,17.88
45,2024-12-01 20:04:05.835,-2.38,0.37,2.16,150.02,-50.72,69.76,0.89,15.53,21.56,-2.57,0.18,-1.21,159.91,168.7,60.12,33.3,4.71,20.52
46,2024-12-01 20:04:06.044,-0.93,0.16,-0.07,19.71,-115.36,4.88,6.54,13.13,18.91,-0.19,-0.12,-1.0,-213.81,-28.08,42.05,25.38,5.33,25.16
47,2024-12-01 20:04:06.353,-1.42,0.19,0.17,-98.69,23.62,5.43,6.96,14.94,16.56,-1.14,-0.59,-1.32,80.08,-38.09,11.54,25.44,10.18,26.71
